entry_id,entry_name,question_id,question_name,answer,notes
23,Late Shang Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
177,Jesus movement,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
178,Ancestral Cult of the Han,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
180,Chinese Folk Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
182,Pauline Christianity,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
186,Buddhism (Late Ming),3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
187,Chinese State Religion (Shang and Western Zhou),3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
190,Sri Lankan Buddhism (1948-Present),3492,The society to which the religious group belongs is best characterized as (please choose one):,A state,editorial decision
191,Early Khalsa Sikhs,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
192,Fijian Religion (pre-conversion),3492,The society to which the religious group belongs is best characterized as (please choose one):,A chiefdom,editorial decision
193,Fijian Religion (contemporary),3492,The society to which the religious group belongs is best characterized as (please choose one):,A state,editorial decision
195,Shakta Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
196,Pauline Christianity (ca. 45-60 CE),3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
197,Gönlung Monastery (dgon lung byams pa gling),3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
198,Religion in Attica (600-300BCE),3492,The society to which the religious group belongs is best characterized as (please choose one):,A state,editorial decision
199,Mithraism,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
202,Early Zhou Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
203,Pre-imperial Chu Religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
204,Han Confucianism,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
207,Buddhism in the Tang,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
209,Ancient Egypt,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
210,Jesus Associations and the Synoptic Gospels,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
217,Roman private religion,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
222,Late Classic Lowland Maya,3492,The society to which the religious group belongs is best characterized as (please choose one):,An empire,editorial decision
